Code;Location;Registered;Envelopes;Valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
529303;Benešov
532568;Bernartice
530743;Bílkovice
532380;Blažejovice
532096;Borovnice
532924;Bukovany
529451;Bystřice
532690;Ctiboř
529478;Čakov
529486;Čechtice
529516;Čerčany
529532;Červený Újezd
529541;Český Šternberk
529567;Čtyřkoly
532746;Děkanovice
529621;Divišov
529648;Dolní Kralovice
532151;Drahňovice
532843;Dunice
529702;Heřmaničky
532932;Hradiště
529737;Hulice
529745;Hvězdonice
532886;Chářovice
532878;Chleby
532045;Chlístov
529770;Chlum
529788;Chmelná
529796;Chocerady
532606;Choratice
529818;Chotýšany
532037;Chrášťany
529842;Jankov
529851;Javorník
532134;Ješetice
531031;Kamberk
529907;Keblov
533084;Kladruby
529931;Kondrac
529940;Kozmice
529958;Krhanice
529974;Krňany
529991;Křečovice
530000;Křivsoudov
530026;Kuňovice
530051;Lešany
530069;Libež
532258;Litichovice
530093;Loket
530107;Louňovice pod Blaníkem
532193;Lštění
530115;Maršovice
530158;Mezno
530166;Miličín
530174;Miřetice
530191;Mnichovice
530204;Mrač
530212;Načeradec
530263;Nespeky
530298;Netvořice
530301;Neustupov
530310;Neveklov
530344;Olbramovice
599395;Ostrov
530352;Ostředek
533076;Pavlovice
530409;Petroupim
532649;Popovice
530441;Poříčí nad Sázavou
530450;Postupice
530476;Pravonín
530492;Přestavlky u Čerčan
530514;Psáře
538680;Pyšely
530522;Rabyně
530531;Radošovice
530549;Rataje
532550;Ratměřice
538710;Řehenice
532941;Řimovice
534382;Sázava
532231;Slověnice
530611;Smilkov
532436;Snět
530638;Soběhrdy
599387;Soutice
599379;Stranný
599361;Strojetice
530689;Struhařov
530701;Střezimíř
530719;Studený
532509;Šetějovice
530751;Tehov
530760;Teplýšovice
530778;Tichonice
532592;Tisem
532541;Tomice
530816;Trhový Štěpánov
532304;Třebešice
530841;Týnec nad Sázavou
532061;Václavice
530867;Veliš
530883;Vlašim
532614;Vodslivy
530891;Vojkov
530905;Votice
530913;Vracovice
530921;Vranov
530948;Vrchotovy Janovice
532266;Všechlapy
513482;Vysoký Újezd
571415;Xaverov
531022;Zdislavice
531049;Zvěstov
